protein	frequency
NP_001157932.1	91
NP_001157934.1	528
NP_001157935.1	30
NP_001157936.1	14
NP_001157937.2	2
NP_001157942.1	93
NP_001157945.1	104
NP_001157947.1	124
NP_001157950.1	13
NP_001157951.1	11
NP_001157956.1	52
NP_001157961.1	304
NP_001157962.1	310
NP_001157968.1	404
NP_001157973.1	257
NP_001157974.1	221
NP_001158.2	88
NP_001158001.1	45
NP_001158002.1	166
NP_001158011.1	262
NP_001158013.1	266
NP_001158016.1	258
NP_001158017.1	225
NP_001158018.1	219
NP_001158019.1	219
NP_001158027.1	155
NP_001158028.1	65
NP_001158051.1	12
NP_001158058.1	828
NP_001158067.1	348
NP_001158077.1	78
NP_001158087.1	215
NP_001158088.1	204
NP_001158089.1	102
NP_001158091.1	95
NP_001158095.1	78
NP_001158101.1	175
NP_001158109.1	103
NP_001158110.1	113
NP_001158116.1	78
NP_001158119.1	78
NP_001158137.1	774
NP_001158145.1	124
NP_001158146.1	139
NP_001158147.1	148
NP_001158157.1	249
NP_001158159.1	234
NP_001158160.1	82
NP_001158162.1	143
NP_001158163.1	170
NP_001158164.1	161
NP_001158166.1	116
NP_001158167.1	96
NP_001158182.1	139
NP_001158183.1	136
NP_001158184.1	155
NP_001158187.1	33
NP_001158188.1	329
NP_001158191.1	143
NP_001158192.1	27
NP_001158193.1	110
NP_001158194.1	110
NP_001158195.1	110
NP_001158202.1	36
NP_001158203.1	32
NP_001158204.1	42
NP_001158209.1	175
NP_001158210.1	172
NP_001158213.1	255
NP_001158218.1	123
NP_001158219.1	123
NP_001158220.1	123
NP_001158221.1	219
NP_001158222.1	277
NP_001158223.1	103
NP_001158225.1	85
NP_001158227.1	86
NP_001158228.1	59
NP_001158229.1	108
NP_001158230.1	103
NP_001158231.1	103
NP_001158232.1	103
NP_001158233.1	103
NP_001158234.1	103
NP_001158238.1	1087
NP_001158243.1	330
NP_001158245.1	104
NP_001158252.1	70
NP_001158255.1	164
NP_001158268.1	66
NP_001158275.1	24
NP_001158283.1	7
NP_001158286.1	396
NP_001158287.1	388
NP_001158288.1	150
NP_001158289.1	140
NP_001158296.1	13
NP_001158297.1	13
NP_001158301.1	55
NP_001158302.1	102
NP_001158303.1	18
NP_001158304.1	18
NP_001158307.1	260
NP_001158308.1	18
NP_001158309.1	18
NP_001158311.1	68
NP_001158313.1	25
NP_001158355.1	183
NP_001158502.1	38
NP_001158503.1	85
NP_001158504.1	86
NP_001158505.1	86
NP_001158506.1	86
NP_001158507.1	454
NP_001158508.1	199
NP_001158509.1	82
NP_001158510.1	120
NP_001158511.1	120
NP_001158608.1	270
NP_001158724.1	8
NP_001158727.1	50
NP_001158729.1	71
NP_001158730.1	40
NP_001158884.1	198
NP_001158886.1	86
NP_001158887.1	79
NP_001158888.1	63
NP_001159.2	40
NP_001159349.1	53
NP_001159353.1	251
NP_001159355.1	38
NP_001159356.2	25
NP_001159357.1	53
NP_001159358.1	40
NP_001159359.1	36
NP_001159365.1	218
NP_001159367.1	98
NP_001159371.1	141
NP_001159375.1	50
NP_001159392.1	141
NP_001159393.1	121
NP_001159395.1	125
NP_001159396.1	44
NP_001159399.1	204
NP_001159400.2	313
NP_001159403.1	90
NP_001159409.1	169
NP_001159410.1	156
NP_001159417.2	211
NP_001159418.1	109
NP_001159419.1	85
NP_001159430.1	155
NP_001159431.1	152
NP_001159432.1	297
NP_001159434.1	295
NP_001159435.1	342
NP_001159436.1	335
NP_001159439.1	53
NP_001159441.1	80
NP_001159442.1	81
NP_001159445.1	154
NP_001159446.1	328
NP_001159447.1	127
NP_001159449.1	313
NP_001159450.1	313
NP_001159451.1	606
NP_001159465.1	64
NP_001159466.1	65
NP_001159474.2	82
NP_001159475.2	87
NP_001159476.2	72
NP_001159477.1	269
NP_001159478.1	234
NP_001159482.1	135
NP_001159484.1	199
NP_001159489.1	126
NP_001159490.1	231
NP_001159491.1	218
NP_001159506.1	167
NP_001159507.1	62
NP_001159508.1	126
NP_001159509.1	126
NP_001159510.1	126
NP_001159521.1	102
NP_001159522.1	214
NP_001159523.1	62
NP_001159524.1	62
NP_001159525.1	62
NP_001159526.1	62
NP_001159527.1	53
NP_001159528.1	213
NP_001159529.1	196
NP_001159530.1	220
NP_001159531.1	91
NP_001159532.1	142
NP_001159533.1	76
NP_001159574.1	194
NP_001159575.1	64
NP_001159576.1	228
NP_001159577.2	132
NP_001159579.1	182
NP_001159580.1	365
NP_001159581.1	213
NP_001159582.1	136
NP_001159583.1	341
NP_001159584.1	321
NP_001159585.1	331
NP_001159586.1	338
NP_001159588.1	104
NP_001159590.1	86
NP_001159591.1	80
NP_001159592.1	119
NP_001159603.1	227
NP_001159605.1	697
NP_001159607.1	217
NP_001159608.1	593
NP_001159609.1	206
NP_001159611.1	70
NP_001159630.1	108
NP_001159631.1	120
NP_001159632.1	388
NP_001159633.1	367
NP_001159634.1	350
NP_001159635.1	299
NP_001159639.1	82
NP_001159640.1	79
NP_001159641.1	82
NP_001159642.1	79
NP_001159643.1	85
NP_001159647.1	37
NP_001159648.1	40
NP_001159680.1	303
NP_001159681.1	303
NP_001159684.1	72
NP_001159687.1	119
NP_001159692.1	64
NP_001159693.1	130
NP_001159694.1	258
NP_001159698.1	349
NP_001159709.1	185
NP_001159711.1	111
NP_001159712.1	35
NP_001159714.1	31
NP_001159715.1	77
NP_001159716.1	196
NP_001159717.1	180
NP_001159718.1	175
NP_001159719.1	180
NP_001159724.1	144
NP_001159725.1	254
NP_001159726.1	224
NP_001159733.1	93
NP_001159734.1	93
NP_001159735.1	93
NP_001159736.1	449
NP_001159737.1	454
NP_001159738.1	429
NP_001159741.1	114
NP_001159742.1	99
NP_001159743.1	332
NP_001159748.1	208
NP_001159749.1	200
NP_001159750.1	35
NP_001159751.1	290
NP_001159752.1	263
NP_001159753.1	260
NP_001159755.1	180
NP_001159756.1	107
NP_001159757.1	114
NP_001159758.1	177
NP_001159759.1	177
NP_001159760.1	177
NP_001159761.1	177
NP_001159762.1	101
NP_001159764.1	414
NP_001159765.1	211
NP_001159766.1	198
NP_001159767.1	198
NP_001159773.1	68
NP_001159776.1	69
NP_001159777.1	179
NP_001159778.1	155
NP_001159811.1	1
NP_001159812.1	51
NP_001159815.1	126
NP_001159817.1	96
NP_001159819.1	264
NP_001159820.1	264
NP_001159821.1	264
NP_001159827.1	148
NP_001159828.1	151
NP_001159829.1	151
NP_001159830.1	151
NP_001159831.1	151
NP_001159845.1	75
NP_001159858.1	84
NP_001159859.1	84
NP_001159864.1	143
NP_001159865.1	211
NP_001159867.1	173
NP_001159872.1	73
NP_001159873.1	73
NP_001159884.1	176
NP_001159887.1	256
NP_001159889.1	211
NP_001159890.1	29
NP_001159891.1	29
NP_001159892.1	19
NP_001159894.1	22
NP_001159896.1	106
NP_001159897.1	56
NP_001159898.1	53
NP_001159906.1	301
NP_001159907.1	245
NP_001159920.1	21
NP_001159921.1	325
NP_001159923.1	157
NP_001159932.1	74
NP_001159933.1	73
NP_001159934.1	73
NP_001159950.1	7
NP_001159968.1	128
NP_001159970.1	163
NP_001159976.1	161
NP_001160.2	109
NP_001160005.1	174
NP_001160006.1	132
NP_001160010.1	25
NP_001160022.1	100
NP_001160051.1	111
NP_001160060.1	118
NP_001160070.1	142
NP_001160071.1	37
NP_001160072.1	29
NP_001160093.1	35
NP_001160096.1	91
NP_001160132.1	97
NP_001160135.1	124
NP_001160136.1	103
NP_001160158.1	223
NP_001160159.1	196
NP_001160160.1	196
NP_001160163.1	255
NP_001160164.1	12
NP_001160165.1	474
NP_001160166.1	174
NP_001160167.1	138
NP_001160170.1	134
NP_001160171.1	23
NP_001160172.1	28
NP_001160174.1	26
NP_001160175.1	26
NP_001160176.1	8
NP_001161.1	138
NP_001161046.1	66
NP_001161047.1	63
NP_001161048.1	210
NP_001161049.1	224
NP_001161051.1	142
NP_001161052.1	147
NP_001161054.1	144
NP_001161066.1	166
NP_001161067.1	144
NP_001161071.1	269
NP_001161072.1	266
NP_001161073.1	266
NP_001161074.1	266
NP_001161076.1	133
NP_001161077.1	112
NP_001161078.1	19
NP_001161080.1	128
NP_001161081.1	392
NP_001161086.1	277
NP_001161089.1	239
NP_001161090.1	192
NP_001161091.1	192
NP_001161093.1	153
NP_001161095.1	402
NP_001161096.2	412
NP_001161097.1	415
NP_001161139.1	184
NP_001161142.1	24
NP_001161143.1	300
NP_001161146.1	90
NP_001161147.1	78
NP_001161148.1	7
NP_001161153.1	101
NP_001161205.1	262
NP_001161206.1	310
NP_001161210.1	344
NP_001161212.1	150
NP_001161213.1	84
NP_001161221.1	511
NP_001161288.1	193
NP_001161291.1	48
NP_001161292.1	19
NP_001161293.1	19
NP_001161294.1	19
NP_001161295.1	19
NP_001161299.2	127
NP_001161302.1	49
NP_001161328.1	285
NP_001161329.1	147
NP_001161330.1	102
NP_001161337.1	88
NP_001161339.1	117
NP_001161340.1	76
NP_001161341.1	79
NP_001161342.1	71
NP_001161343.1	112
NP_001161352.1	83
NP_001161354.1	358
NP_001161362.1	132
NP_001161374.1	83
NP_001161375.1	147
NP_001161383.1	288
NP_001161384.1	309
NP_001161387.1	76
NP_001161388.1	76
NP_001161389.1	61
NP_001161396.1	100
NP_001161400.1	145
NP_001161401.1	145
NP_001161402.1	89
NP_001161403.1	134
NP_001161406.1	129
NP_001161407.1	107
NP_001161412.1	350
NP_001161413.1	190
NP_001161414.1	44
NP_001161419.1	33
NP_001161431.1	27
NP_001161433.1	101
NP_001161434.1	222
NP_001161437.1	264
NP_001161442.1	98
NP_001161443.1	89
NP_001161444.1	98
NP_001161457.1	91
NP_001161458.1	97
NP_001161459.1	97
NP_001161461.1	36
NP_001161462.1	36
NP_001161464.1	16
NP_001161686.1	17
NP_001161687.1	57
NP_001161688.1	145
NP_001161689.1	188
NP_001161693.1	311
NP_001161694.1	257
NP_001161707.1	286
NP_001161708.1	322
NP_001161709.1	298
NP_001161710.1	289
NP_001161711.1	283
NP_001161713.1	78
NP_001161719.1	225
NP_001161743.1	261
NP_001161750.1	110
NP_001161752.1	110
NP_001161770.1	129
NP_001161771.1	91
NP_001161772.1	90
NP_001161773.1	91
NP_001161774.1	91
NP_001161775.1	87
NP_001161788.1	193
NP_001161791.1	75
NP_001161792.1	54
NP_001161794.1	130
NP_001161795.1	116
NP_001161796.1	96
NP_001161797.1	42
NP_001161803.1	54
NP_001161807.1	138
NP_001161811.1	255
NP_001161812.1	252
NP_001161813.1	229
NP_001161814.1	197
NP_001161816.1	732
NP_001161819.1	188
NP_001161820.1	163
NP_001161827.1	118
NP_001161829.1	213
NP_001161831.1	918
NP_001161832.1	141
NP_001161833.1	87
NP_001161834.1	133
NP_001161835.1	139
NP_001161836.1	112
NP_001161840.1	187
NP_001161842.1	654
NP_001161846.1	403
NP_001161847.1	408
NP_001161848.1	395
NP_001161849.1	393
NP_001161850.1	151
NP_001161851.1	151
NP_001161857.1	26
NP_001161860.1	116
NP_001161861.2	118
NP_001161862.1	27
NP_001161865.1	98
NP_001161866.1	98
NP_001161870.1	72
NP_001161871.1	39
NP_001161872.1	38
NP_001161873.1	31
NP_001161879.1	224
NP_001161880.1	171
NP_001161881.1	153
NP_001161882.1	172
NP_001161883.1	42
NP_001161884.1	27
NP_001161937.1	184
NP_001161938.1	156
NP_001161939.1	157
NP_001161940.1	194
NP_001161946.1	72
NP_001161950.1	109
NP_001161951.1	109
NP_001161952.1	109
NP_001161954.1	109
NP_001161957.1	109
NP_001161971.1	156
NP_001162.4	573
NP_001162002.1	45
NP_001162003.1	48
NP_001162023.1	177
NP_001162089.1	96
NP_001162118.1	100
NP_001162119.1	82
NP_001162120.1	77
NP_001162153.1	21
NP_001162154.1	91
NP_001162195.1	103
NP_001162577.1	65
NP_001162578.1	66
NP_001162580.1	155
NP_001162581.1	155
NP_001162582.1	155
NP_001162588.1	153
NP_001162589.1	200
NP_001162593.1	235
NP_001162594.1	247
NP_001162595.1	236
NP_001162596.1	235
NP_001162597.1	124
NP_001162625.1	40
NP_001163.1	115
NP_001163045.1	77
NP_001163801.1	55
NP_001163802.1	71
NP_001163873.1	186
NP_001163886.1	427
NP_001163887.1	447
NP_001163889.1	30
NP_001163894.1	185
NP_001163931.1	67
NP_001163935.1	98
NP_001164.2	391
NP_001164006.1	187
NP_001164007.1	177
NP_001164009.1	229
NP_001164014.1	69
NP_001164024.1	90
NP_001164035.1	154
NP_001164040.1	14
NP_001164041.1	17
NP_001164045.1	65
NP_001164051.1	202
NP_001164056.1	627
NP_001164058.1	190
NP_001164059.1	179
NP_001164099.1	175
NP_001164100.1	457
NP_001164101.1	370
NP_001164104.1	164
NP_001164105.1	123
NP_001164106.1	117
NP_001164108.1	194
NP_001164110.1	126
NP_001164111.1	112
NP_001164120.1	89
NP_001164121.1	86
NP_001164141.1	147
NP_001164157.1	384
NP_001164158.1	377
NP_001164159.1	363
NP_001164160.1	304
NP_001164161.1	282
NP_001164163.1	210
NP_001164164.1	205
NP_001164166.1	138
NP_001164167.1	121
NP_001164168.1	138
NP_001164169.1	138
NP_001164170.1	107
NP_001164171.1	122
NP_001164172.1	60
NP_001164173.1	55
NP_001164174.1	51
NP_001164175.1	51
NP_001164185.1	434
NP_001164186.1	437
NP_001164187.1	435
NP_001164188.1	439
NP_001164189.1	429
NP_001164190.1	429
NP_001164191.1	354
NP_001164192.1	347
NP_001164197.1	145
NP_001164209.1	317
NP_001164212.1	97
NP_001164218.1	30
NP_001164221.1	141
NP_001164222.1	122
NP_001164223.1	116
NP_001164224.1	192
NP_001164226.1	30
NP_001164227.1	38
NP_001164228.1	24
NP_001164231.1	159
NP_001164232.1	146
NP_001164236.1	119
NP_001164237.1	115
NP_001164250.1	46
NP_001164251.1	25
NP_001164252.1	10
NP_001164254.1	19
NP_001164261.1	161
NP_001164262.1	135
NP_001164263.1	135
NP_001164264.1	117
NP_001164265.1	232
NP_001164266.1	104
NP_001164267.1	87
NP_001164268.1	80
NP_001164269.1	78
NP_001164277.1	14
NP_001164278.1	120
NP_001164279.1	181
NP_001164291.2	27
NP_001164351.1	100
NP_001164352.1	87
NP_001164376.1	95
NP_001164402.1	87
NP_001164409.1	171
NP_001164432.1	286
NP_001164433.1	283
NP_001164434.1	56
NP_001164491.1	145
NP_001164496.1	440
NP_001164509.1	186
NP_001164510.1	164
NP_001164551.1	89
NP_001164554.1	214
NP_001164558.1	328
NP_001164559.1	325
NP_001164560.1	326
NP_001164562.1	220
NP_001164563.1	31
NP_001164564.1	92
NP_001164566.1	31
NP_001164580.1	39
NP_001164581.1	39
NP_001164582.1	39
NP_001164603.1	50
NP_001164604.1	40
NP_001164605.1	47
NP_001164606.1	272
NP_001164607.1	272
NP_001164608.1	101
NP_001164626.1	12
NP_001164627.1	232
NP_001164628.1	216
NP_001164629.1	198
NP_001164630.1	196
NP_001164632.1	163
NP_001164633.1	145
NP_001164634.1	74
NP_001164637.1	382
NP_001164638.1	400
NP_001164639.1	399
NP_001164641.1	87
NP_001164642.1	114
NP_001164643.1	114
NP_001164645.1	123
NP_001164653.1	96
NP_001164654.1	25
NP_001164655.1	157
NP_001164657.1	91
NP_001164662.1	77
NP_001164663.1	97
NP_001164664.1	77
NP_001164666.1	79
NP_001164668.1	79
NP_001164672.1	160
NP_001164673.1	150
NP_001164674.1	157
NP_001164675.1	157
NP_001164722.1	233
NP_001164723.1	35
NP_001164977.1	57
NP_001164978.1	57
NP_001164979.1	57
NP_001164980.1	33
NP_001164981.1	33
NP_001164982.1	44
NP_001165052.1	52
NP_001165074.1	367
NP_001165077.1	367
NP_001165081.1	293
NP_001165082.1	163
NP_001165084.1	317
NP_001165088.1	317
NP_001165093.1	73
NP_001165094.1	73
NP_001165095.1	62
NP_001165096.1	57
NP_001165097.1	48
NP_001165098.1	40
NP_001165099.1	39
NP_001165100.1	46
NP_001165101.1	35
NP_001165102.1	174
NP_001165103.1	163
NP_001165124.1	194
NP_001165131.1	137
NP_001165132.1	124
NP_001165160.1	22
NP_001165161.1	178
NP_001165177.1	22
NP_001165184.1	62
NP_001165211.1	64
NP_001165212.1	64
NP_001165214.2	56
NP_001165266.1	11
NP_001165267.1	11
NP_001165268.1	11
NP_001165269.1	11
NP_001165270.1	11
NP_001165276.1	137
NP_001165277.1	108
NP_001165282.1	81
NP_001165283.1	120
NP_001165285.1	89
NP_001165286.1	28
NP_001165287.1	29
NP_001165289.1	110
NP_001165290.1	99
NP_001165291.1	81
NP_001165335.1	189
NP_001165339.1	84
NP_001165344.1	80
NP_001165347.1	169
NP_001165348.1	150
NP_001165349.1	158
NP_001165350.1	164
NP_001165358.1	65
NP_001165359.1	58
NP_001165365.1	108
NP_001165376.1	59
NP_001165377.1	89
NP_001165378.1	13
NP_001165379.1	13
NP_001165380.1	12
NP_001165401.1	570
NP_001165402.1	435
NP_001165403.1	145
NP_001165404.1	451
NP_001165405.1	448
NP_001165406.1	116
NP_001165407.1	113
NP_001165408.1	120
NP_001165411.2	39
NP_001165412.1	56
NP_001165413.1	31
NP_001165415.1	271
NP_001165416.1	126
NP_001165417.1	121
NP_001165419.1	56
NP_001165420.1	56
NP_001165438.1	102
NP_001165439.1	445
NP_001165442.1	291
NP_001165447.1	551
NP_001165450.1	154
NP_001165459.1	138
NP_001165461.1	95
NP_001165462.1	49
NP_001165463.1	40
NP_001165464.1	123
NP_001165556.1	61
NP_001165557.1	112
NP_001165558.1	112
NP_001165576.1	140
NP_001165580.1	51
NP_001165581.1	51
NP_001165582.1	51
NP_001165599.1	498
NP_001165600.1	161
NP_001165601.1	162
NP_001165602.1	161
NP_001165604.1	161
NP_001165644.1	161
NP_001165689.1	144
NP_001165690.1	151
NP_001165691.1	144
NP_001165692.1	153
NP_001165693.1	134
NP_001165694.1	79
NP_001165696.1	235
NP_001165697.1	227
NP_001165763.1	131
NP_001165774.1	291
NP_001165775.1	282
NP_001165780.1	222
NP_001165783.1	183
NP_001165806.1	65
NP_001165828.1	62
NP_001165881.1	66
NP_001165882.1	222
NP_001165883.1	222
NP_001165886.1	85
NP_001165887.1	23
NP_001165888.1	64
NP_001165889.1	159
NP_001165891.1	277
NP_001165899.1	29
NP_001165901.1	288
NP_001165902.1	244
NP_001165903.1	133
NP_001165906.1	295
NP_001165907.1	206
NP_001165910.1	137
NP_001165911.1	128
NP_001165948.1	104
NP_001165949.1	66
NP_001165972.1	159
NP_001165973.1	136
NP_001165975.1	159
NP_001165980.1	107
NP_001165988.1	107
NP_001166.3	67
NP_001166028.1	515
NP_001166031.1	201
NP_001166033.1	192
NP_001166037.1	59
NP_001166039.1	90
NP_001166040.1	72
NP_001166045.1	362
NP_001166046.1	334
NP_001166094.1	430
NP_001166095.1	448
NP_001166097.1	306
NP_001166101.1	349
NP_001166102.1	402
NP_001166103.1	58
NP_001166104.1	62
NP_001166109.1	102
NP_001166110.1	69
NP_001166111.1	68
NP_001166114.1	74
NP_001166115.1	73
NP_001166117.1	246
NP_001166120.1	55
NP_001166122.1	189
NP_001166125.1	177
NP_001166126.1	211
NP_001166127.1	427
NP_001166128.1	76
NP_001166129.1	51
NP_001166130.1	412
NP_001166131.1	53
NP_001166134.1	68
NP_001166135.1	68
NP_001166136.1	68
NP_001166137.1	67
NP_001166138.1	56
NP_001166139.1	190
NP_001166140.1	196
NP_001166141.1	190
NP_001166143.1	45
NP_001166144.1	67
NP_001166145.1	369
NP_001166146.1	369
NP_001166148.1	285
NP_001166150.1	212
NP_001166152.1	115
NP_001166153.1	120
NP_001166155.1	75
NP_001166156.1	61
NP_001166158.1	212
NP_001166159.1	196
NP_001166160.1	208
NP_001166161.1	221
NP_001166162.1	218
NP_001166163.1	208
NP_001166166.1	58
NP_001166167.1	125
NP_001166168.1	73
NP_001166169.1	391
NP_001166170.1	384
NP_001166171.1	286
NP_001166173.1	172
NP_001166174.1	263
NP_001166175.1	238
NP_001166176.1	185
NP_001166183.1	181
NP_001166184.1	742
NP_001166203.1	116
NP_001166206.1	124
NP_001166210.1	129
NP_001166214.1	129
NP_001166216.1	281
NP_001166217.1	274
NP_001166237.1	162
NP_001166238.1	108
NP_001166242.1	116
NP_001166243.1	116
NP_001166244.1	174
NP_001166245.1	187
NP_001166246.1	255
NP_001166250.1	155
NP_001166281.1	253
NP_001166282.1	133
NP_001166284.1	133
NP_001166285.1	133
NP_001166286.1	133
NP_001166289.1	212
NP_001166290.1	143
NP_001166299.1	114
NP_001166302.1	186
NP_001166303.1	174
NP_001166599.1	123
NP_001166600.1	90
NP_001166864.1	144
NP_001166879.1	404
NP_001166902.1	672
NP_001166923.1	86
NP_001166924.1	78
NP_001166925.1	51
NP_001166926.1	49
NP_001166927.1	44
NP_001166932.1	57
NP_001166933.1	59
NP_001166934.1	436
NP_001166935.1	444
NP_001166936.1	431
NP_001166937.1	221
NP_001166938.1	132
NP_001166939.1	78
NP_001166944.1	312
NP_001166945.1	316
NP_001166947.1	38
NP_001166950.1	43
NP_001166951.1	37
NP_001166953.1	153
NP_001166955.1	51
NP_001166957.1	10
NP_001166958.1	80
NP_001166959.1	78
NP_001166960.1	47
NP_001166961.1	47
NP_001166969.1	362
NP_001166983.1	89
NP_001166984.1	38
NP_001166985.1	43
NP_001166987.1	234
NP_001166988.1	225
NP_001166995.1	168
NP_001166996.1	161
NP_001167.2	92
NP_001167004.1	209
NP_001167005.1	209
NP_001167010.1	125
NP_001167011.1	128
NP_001167012.1	121
NP_001167013.1	126
NP_001167014.1	130
NP_001167023.1	149
NP_001167446.1	163
NP_001167447.1	145
NP_001167449.1	19
NP_001167453.1	97
NP_001167455.1	217
NP_001167459.1	307
NP_001167460.1	78
NP_001167461.1	43
NP_001167462.1	46
NP_001167515.1	175
NP_001167516.1	175
NP_001167517.1	175
NP_001167522.1	273
NP_001167531.1	229
NP_001167532.1	285
NP_001167534.1	207
NP_001167535.1	202
NP_001167536.1	205
NP_001167537.1	166
NP_001167538.1	212
NP_001167539.1	131
NP_001167540.1	123
NP_001167541.1	212
NP_001167542.1	105
NP_001167543.1	110
NP_001167551.1	462
NP_001167552.1	531
NP_001167553.1	521
NP_001167554.1	520
NP_001167555.1	225
NP_001167556.1	190
NP_001167559.1	449
NP_001167560.1	350
NP_001167561.1	361
NP_001167563.1	13
NP_001167564.1	293
NP_001167565.1	296
NP_001167566.1	279
NP_001167567.1	298
NP_001167568.1	97
NP_001167569.1	117
NP_001167571.1	123
